,200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907
1101,5,-10.85,11.03,-10.63,7.18,-3.13,0.47,-6.15,20.63,15.83,7.21,9.61,-4.45,51.46,7.92,20.15,3.73,16.88,6.31,25.39,-15.72,12.32,25.46,28.02,45.42,0.35,18.05,21.12,19.51,21.23,24.31,11.26,49.07,25.44,20.77,9.92,3.33,6.46,10.26,-5.21,3.84,-9.66,3.56,3.66,0.69,-13.36,-10.86,3.04,-10.93,39.8,10.78,25.98,9.87,30.44,10.16,9.58,10.67,17.31,24.2,7.62,35.65,-25.07,1.07,0.08,-0.78,-5.73,1.31,2.47,9.63,6.53,0.03,6.45,-13.84,14.76,-12.19,-12.4,-13.12,-12.91,-6.67,10.8,-0.35,-7.31,-16.08,-23.81,-2.71,3.85,2.59,-0.53,2.4,-11.66,-1.16,-24.45,-19.14,-12.23,-5.36,5.02,-2.07,-17.04,-4.44,-0.05,0.05,17.85,-3.63,17.53,0.24,5.14,-5.78,-15.91,-28.98,6.72,-7.94,-23.99,-18.35,-12.86,-9.84,-24.17,-5.13,-13.56,-17.86,-3.05,28.31,-7.59,-2.49,15.44,2.93,-5.76,-1.06,11.34,-1.02,-6.07,20.16,20.09,13.78,-7.56,7.71,15.67,9.98,20.42,6.68,6.6,10.49,21.36,6.52,-4.54,-25.05,22.11,0.33,-4.92,3.96,-6.27,5.79,-2.02,0.22,7.82,0.75,-4.74,28.2,-30.6,-7.13,0.06,-4.49,1.64,1.12,2.65,6.03,-1.3,16.11,16.28,7.3,9.88,14.56,16.56,11.33,1.68,4.58,1.18,-2.43,-2.11,-16.98,-13.17,-8.98,-20.77,-28.98,-26.76,-24.8,-11.7,-20.12,-25.66,-28.42,-22.52,-13.92,-13.81,-26.3,-24.7,-2.23,-14.32,-1.55,-8.58,-5.26,0.78,0.87,2.23,10.78,11.12,-6.75,64.23,20.73,15.36,7.86,0.58,2.79,-6.74,13.89,1.53,12.62,16.66,56.85,-19.33,7.34,31.69,36,36.89,37.08,54,29.3,40.13,18.01,3.8,-2.32,5.68,11.56,-3.87,-5.51,-8.28,-4.76
1102,-20.41,-33.78,-13.93,-19.55,-4.28,-10.96,-1.59,-12.29,7.67,-0.42,-17.4,-14.18,-36.39,37.78,-10.69,-21.01,-18.85,-14.8,-13.92,9.07,-24.94,-2.9,13.92,9.24,35.68,-5.06,13.85,22.92,6.05,19.88,3.1,3.08,38.95,16.19,4.93,-5.22,-0.47,-22.59,-20.17,-19.31,-12.54,-19.03,0.05,-15.7,-15.36,-20.29,-19.75,-1.37,-19.78,28.58,10.25,9.77,13.04,19.3,1.93,4.16,18.39,3.57,15.66,12.16,43.53,-9.98,7.04,2.13,1.92,-6.17,-4.43,6.87,-3.66,0.55,2.81,2.52,-13.19,16.7,-0.21,-3.34,0.84,2.37,6.53,5.89,5.45,15.96,-3.8,-14.79,15.5,-5.46,-3,8.11,-3.76,3.52,10.39,-20.17,-6.15,-5.08,-6.32,5.69,-11.04,0.47,-1.19,-4.07,-0.87,-11.13,-22.39,26.82,-13.24,5.6,1.96,11.88,-8.25,6.28,-6.66,-4.13,6.61,13.17,16.26,-10.64,0.37,-28.24,-15.21,-19.14,-6.94,-15.2,-2.57,-7.29,-16.72,-26.76,-10.32,-23.6,0.29,7.19,63.77,26.13,4.39,-0.84,7.24,18.64,6.86,32.62,27.32,39.36,38.38,21.12,-21.32,-4.29,-2.41,19.27,26.1,14.09,1.88,0.81,5.2,19.91,-5.25,-0.12,17.3,6.01,55.1,-29.35,-4.95,3.96,17.28,4.4,8.04,5.31,8.16,13.71,15.09,22.83,-0.03,24.32,30.39,13.57,21.61,15.91,11.87,14.62,10.67,4.45,-5.6,1.31,13.89,3.35,-25.49,-14.37,-25.89,-20.05,-13.56,-16.88,-14.76,-12.78,-14.65,-18.71,-26.06,-20.86,1.22,-3.64,-5.05,-5.15,-16.67,-7.37,-8.44,-6.58,-3.88,2.67,-17.84,17.5,-0.55,-6.1,7.52,1.89,9.67,7.28,14.34,5.92,24.52,17.38,62.66,11.78,20.46,37.74,34.08,41.61,33.68,31.07,32.67,31.12,14.87,-7.38,16.78,-7.12,30.08,17.34,9.58,-0.18,11.28
1103,-8.37,-19.69,6.91,3.23,35.38,12.21,33.77,0.85,-5.99,8.02,-8.63,4.38,-23.05,22.98,-24.26,-15.85,-32.08,-19.64,-33.92,-7.13,-37.72,-24.92,-11.21,-10.72,22.88,-25.84,28.86,26.75,34.44,20.85,22.08,21.14,37.89,16.97,0.46,-4.88,-18.16,-17.27,-26.45,-28.74,-9,-7.55,-1.59,-26.48,-14.91,0.61,4.05,10.32,-19.12,62.26,23.3,39.01,13.26,23.8,9.83,15.63,32.8,5.86,27.57,7.23,56.4,-19.7,1.03,1.53,-4.76,-2.57,-1.72,10.58,-5.87,-0.85,-7.24,9.69,-1.23,15.54,-7.63,-7.61,-2.77,-22.75,-6.16,-13.89,-5.61,4.84,5.16,4.29,20.47,25.25,22.01,5.48,14.62,17.86,15.44,-3.22,-6.1,3.63,-0.16,-13.44,-24.39,-31.7,-10.87,-16.55,-18.28,-14.66,-19.39,16.64,3.3,2.39,-21.73,10.13,-14.97,6.61,0.28,-2.59,0.43,-4.88,11.84,-25.95,7.45,-39.3,-27.48,-33.27,-13.33,-29.13,-28.49,-14.42,-17.78,-14.32,-10.05,24,-40.71,-0.22,12.64,8.13,3.47,-19.93,-11.09,-43.67,-67.74,-82.69,-88.31,-88.93,-81.72,-68.54,-58.14,-58.72,-61.64,-3.56,-25.63,42.82,107.17,303.62,414.08,396.31,381.14,134.95,28.14,33.94,-18.85,-48.82,-10.87,-2.09,4.58,-49.3,-11.21,66.26,50.87,23.61,64.41,-42.79,54.69,1.15,41.44,5.62,-26.47,-26.67,-16.2,-3.23,7.15,-11.41,-23.65,-40.74,-30.46,-4.88,-50.4,-29.19,13.95,-35.39,-28.83,-43.4,-43.89,-15.57,-23.55,-28.6,-36.4,-10.46,-0.13,-26.44,6.7,93.04,53.08,6.88,46.66,-6.96,18.83,53,17.9,19.48,-2.91,-33.83,-46.26,-48.23,-42.74,-11.2,-35.91,-44.03,-48.54,-52.71,-26.03,-26.78,-10.81,28.54,1.11,20.4,0.34,-0.61,-6.48,6.57,1.05,29.74,2.89,-13.65,-3.85,-5.93,-21.19,-24.35,2.99
1104,4.44,-0.21,-6.28,-10.1,18.21,3.17,16.17,-7.5,9.6,12.66,-7.77,3.68,-31.42,5.56,-18.31,-5.56,-36.38,-21.19,-20.18,6.43,-43.41,-23.26,-2.61,-7.25,8.78,-25.19,0.3,7.57,26.73,18.32,17.97,-1.16,90.44,36.07,10.44,-1.31,4.09,7.42,11.06,-1.68,-4.34,-9.46,33.35,24.48,7.5,1.21,14.87,35.49,-6.55,74.04,26.59,37.3,37.86,62.72,5.16,14.65,-1.64,11.82,9.12,7.76,49.11,-27.57,-4.74,-4.66,2.38,-31.58,-1.72,-12.86,-1.74,-8.54,-2.84,-3.12,-13.68,15.06,3.44,-11.55,-18.88,1.42,-26.86,1.91,3.4,0.28,-19.82,-10.89,-5.4,-14.92,-11.61,-10.16,-7.04,-7.88,7.87,-31.31,-29.23,-18.63,-6.26,-14.17,-8.6,-12.98,0.67,9.38,17.07,7.15,-6.31,24.13,13.35,-9.81,-16.43,-6.17,-34.52,7.45,-11.25,-15.37,-12.86,-6.48,7.47,-14.4,20.54,19.33,35.64,19.69,67.71,-13.28,18.1,28.41,14.52,21.14,13.67,31.22,-17.49,3.64,-4.96,8.43,15.11,20.5,11.95,0.78,-4.58,9.91,-0.52,7.04,24.9,4.98,-4.81,-5,-30.32,40.98,7.34,3.25,10.13,-17.89,9.57,-12.58,10.4,19.45,22.07,0.7,52.5,-19.83,0.51,-4.43,1.64,29.46,10.87,16.04,0.98,12.14,9.49,15.77,5.31,11.62,15.24,26.62,17.3,15.32,8.41,14.97,3.23,3.62,1.5,6.96,1.6,0.24,-11.42,-10.38,-22.07,-14.26,-16.01,-16.81,-8.53,-14.5,-6.53,-13.51,-28.28,-11.15,-7.84,-4.49,13.3,-9.85,-14.06,3.41,-30.7,-16.64,-9.45,-2.89,-2.53,3.44,-1.37,-16.25,-9.31,-13.98,0.84,-5.54,37.27,-12.71,-7.05,-13.81,26.55,-13.05,2.12,7.48,11.58,5.84,-1.91,-3.37,3.16,36.02,10.55,16.43,4.13,0.94,-0.08,8.83,-1.15,4.84,13.49
1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,-1.14,-33.34,-5.97,-19,-2.83,-23.2,-17.63,-28.52,-14.98,-22.4,-31.17,-20.23,-42.33,14.21,-24.83,-24.17,-30.45,-23.84,-35.57,6.03,-29.7,17.65,27.69,7.47,39.1,-4.98,28.22,49.04,59.8,52.08,71.44,34.65,60.58,21.32,7.08,6.31,5.85,12.35,5,-5.44,-3.47,-1.05,14.37,-1.03,11.72,10.31,4.47,36.9,-0.2,70.59,38.82,37.74,9.47,30.63,-5.12,-7.2,-3.26,-2.26,24.78,-0.58,42.66,-33.97,1.58,9.97,3.58,2.54,15.23,34.53,30.24,17.06,10.22,20.16,-5.25,42.9,-0.6,-13.46,-1.43,-9.05,-2.61,2.29,2.23,-15.14,-34.1,-33.87,-17.7,-16.3,-24.19,-11.46,-10.53,-18.57,-17.12,-28.82,-29.78,-14.14,1.5,7.03,6.05,-12.93,5.36,-7.37,3.02,13.56,1.08,2.01,-1.6,6.81,1.4,-7.84,-41.3,0.63,-26.05,-12.6,-15.29,-10.28,-2.82,-14.69,2.87,-21.88,-15.22,-6,37.06,-17.87,13.28,-6.02,-12.94,-17.79,-19.89,7.28,-0.72,-0.92,6.49,-2.54,13.16,3.32,14.49,45.67,12.28,14.39,24.19,16.59,17.95,19.97,0.53,6.94,-22.01,45.06,7.01,-16.81,16.93,8.47,6.67,-20.33,-0.03,30.19,25.09,20.12,68.33,-2.46,17.62,4.77,-1.78,15.5,21.09,28.93,11.7,6.44,26.73,9.81,5.18,-12.19,4.89,26.34,7.22,12.08,-5.94,9.73,5.13,7.47,-5.5,2.29,2.38,40.45,-7.53,-5.41,15.21,7.04,11.98,-20.81,-16.33,-18.24,-1.14,-5.04,-32.87,-26.99,-8.99,-11.33,-16.95,-23.5,-27.27,17.92,-1.55,-0.54,-20.46,-19.26,-9.04,-6.92,-12.53,-23.65,-14.9,-27.87,-19.75,-24.46,-20.31,-34.05,-23.74,-17.6,1.13,-14.92,-8.36,-4.17,-11.52,13.38,-2.19,-12.93,-4.09,15.56,4.26,-7.04,10.25,-14.9,-0.55,15.36,3.63,-1.56,18.49
1109,-25.29,-36.05,-9.78,-21.73,-11.43,-25.2,-21.14,-18.24,15.76,-11.43,-23.73,-7.31,-38.35,16.52,-39.49,-45.81,-34.91,-23.92,-35.72,-14.67,-45.74,-6.55,36.36,-4.11,43.8,-19.47,69.91,86.44,53.43,50.33,74.33,45.2,75.32,41.36,1.58,-0.52,-0.53,34.96,-17.8,-12.54,-2.04,-5.53,1.68,2.25,30.21,9.57,12.7,44.97,-0.15,35.12,15.58,33.51,19.81,41.23,37.17,31.29,15.34,25.38,48.43,26.96,56.92,-23.07,30.32,17.61,6.23,8.04,-9.45,-1.09,8.33,0.16,-6.78,-4.8,-8.49,52.69,19.7,3.17,13.42,10.16,18.97,32.68,25.57,8.28,-21.21,-12.52,4.41,-18.29,-19.27,-14.33,-13.29,-29.44,-7.78,-20.98,-16.87,-23.72,8.69,-8.94,-0.81,-9.7,-4.33,-5.7,-14.52,-1.01,-21.5,-8.83,-15.56,13.88,-12.76,3.61,-39.67,-0.08,-22.43,-13.48,-13.67,-5.86,-10.79,-33.51,-32.58,-41.63,-18.91,-23.12,9.33,-33.37,-12.53,-24.56,-21.6,-35.39,-22.4,-13.78,10.54,18.65,-5.44,5.14,2.02,4.83,2.09,42.12,56.01,57.34,27.17,29.45,6.54,9,26.11,18.97,-13.3,75.07,32.65,16.64,-1.79,-2.69,16.36,19.15,20.4,17.73,2.21,-9.04,57.59,-39.31,25.24,12.33,4.66,0.61,-1.09,5.02,37.58,70.86,58.82,44.57,21.52,30.75,38.76,28,66.24,52.66,23.56,-30.38,-2.78,-12.11,-12.74,-24.23,-6.49,7.77,-42.44,-24.16,-26.68,-28.16,-5.99,63.59,23.78,-9.8,-25.52,-13.28,-22.32,-34.79,31.04,9.81,-1.64,-0.02,-8.3,-2.28,-21.93,-14.23,22.32,42.94,-1.68,27.26,15.57,17.25,13.42,28.73,35.05,33.67,50.74,3.46,52.64,13.07,42.75,4.79,-12.84,13.17,39.89,37.85,48.18,22.8,32.58,93.29,-18.85,21.7,40.68,-18.02,34.39,38.16,27.95,13.97,-3.26
1110,-14.63,-32.22,-40.16,-53.84,-34.41,-39.89,-45.85,-35.9,-5.43,-39.69,-46.74,-34.98,-55.33,-11.78,-2.05,-3.34,1.3,-13.63,14.98,-1.65,-32.85,34.97,94.31,45.47,126.27,5.72,24.44,59.86,13.04,57.92,63.05,77.24,66.32,-0.25,-16.82,-16.36,-13.34,6.26,-5,-10.76,7.48,-9.32,-0.04,0.72,5.44,-1.35,2.82,15.28,-12.6,53.8,14.09,21.47,18.64,26.28,4.96,-0.09,7.39,23.85,29.83,24.43,52.8,-17.97,14.6,13.56,8.64,-10.89,24.87,22.55,25.36,2.48,-0.07,0.96,-8.18,8.27,-1.69,-20.3,-7.93,1.53,-29.42,-10.25,-17.84,-19.08,-25.99,2.82,23.09,6.76,-13.56,3.23,-1.48,-0.74,26.85,-36.63,11.21,10.57,24.59,-15.29,-23.47,-18.38,4.92,-5.64,4.82,-14.08,-32.48,28.71,-29.46,13.41,-3.06,8.86,-24.55,1.35,2.35,-6.84,-14.37,4.08,28.66,4.98,15.65,-21.66,-20.6,-31.53,4.67,-33.84,-24.99,-7.71,-7.92,-11.28,-14.45,-18.41,-28.65,-14.64,3.58,20.59,-4.66,12.19,5.8,2.84,-7.96,21.35,-12.53,-16.41,-2.53,-10.13,-5.01,16.32,-9.53,46.89,-0.17,-3.21,6.15,-23.38,30.81,19.37,44.92,53.87,30.8,-4.54,55.53,-12.41,21.81,44.66,29.61,56.08,29.05,35.14,14.66,7.86,6.63,23.26,0.74,20.54,6.49,3.97,5.04,3.88,-12.66,-9.45,11.36,3.97,4.06,0.96,4.48,-11.14,-7.39,-6.33,-12.25,4.25,-8.32,-9.65,-23.02,-23.79,-14.76,-15.66,-25.79,-17.85,-13,-12.43,-6.89,-28.88,-23.17,-18.49,-39.81,-26.15,-14.9,-18.04,-25.89,15.91,-7.29,-22.14,-20.39,-9.64,0.23,7.48,178.34,54,33.03,55.81,47.41,-16.04,21.91,3.38,29.56,10.65,38.19,-10.61,-45.08,4.44,-24.41,-17.25,21.52,-14.74,-8.71,0.4,-7.22,-4.46,-27.01
1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
